id,Test Name,Request Command,Waiting Period,Unit,Request Command Description,Response,Response Description
6a04547227be228113206980,Restore third server all FTP/HTTP parameters,"?56,,#",1,min,Returns all third settings,"$56, all third server settings,#","IIIIII, HHHH…, FFF…, PPPPP,ffff…,uuuu…,pppp…,+91nnnnnnnnnn,R-(Station id,FTP server address, FTP port no., FTP file path, FTP username, FTP password, cell no., TX redundancy),Max length = 8+1+20+1+5+1+20+1+20+1+20+1+13+1+1 = 114 characters"
6a04547227be228113206981,Restore factory server all FTP/HTTP parameters,"?57,,#",1,min,Returns all factory settings,"$57, all factory server settings,#","IIIIII, HHHH…, FFF…, PPPPP,ffff…,uuuu…,pppp…,+91nnnnnnnnnn,R-(Station id,FTP server address, FTP port no., FTP file path, FTP username, FTP password, cell no., TX redundancy),Max length = 8+1+20+1+5+1+20+1+20+1+20+1+13+1+1 = 114 characters"
6a04547227be228113206982,Fast SMS check,"?58,N,#",1,min,"N=0 Disable, 1Enable","$58,all general system parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be228113206983,Set admin 1 SMS cell no,"?59,+91nnnnnnnnnn,#",1,min,(nnnnnnnnnn: Cellular no. – 10 digit long),"$59,all general system parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be228113206984,Set admin 2 SMS cell no,"?60,+91nnnnnnnnnn,#",1,min,(nnnnnnnnnn: Cellular no. – 10 digit long),"$60,all general system parameters#","IIIIIIII, NNNNNNNNNNNNNNNN,HH:MM:SS,hh:mm:ss,AAAAAAAAAAAAAAAA,HHH…,S, +91nnnnnnnnnn, +91nnnnnnnnnn,YY,HH:MM:SS (Station id, station name, Tx interval, measurement interval, APN , APN, Fast SMS check, admin cell no.1, admin cell no. 2s, sensor power on time, measurement start time) Max length = 8+1+16+1+8+1+8+1+31+1+31+1+1+1+13+1+13+1+2+1+8= 149 characters"
6a04547227be228113206986,HTTP Server Username,"?62,N,username,#",1,min,"N-ServerNo 1 to 4, username for the selected server (max 64 char)","$62,station id,N,azista123..#",N – Server number from 1 to 4 azista123... – username for the selected server (Max 64-character length)
6a04547227be228113206987,Get transmission start time GPRS,"?63,,#",1,min,returns current tranmission time,"$63,station id,HH:MM:SS#",NA
6a04547227be228113206989,Set/Get transmitter frequency,"?65,N,S,FFFF,#",1,min,"S = 0 – to get ,1- set if S =0 no need to send FFFF. N= 0 for UHF, 1 for Radio Sonde. Freq from 402.0000 to 403.0000Mhz.FFFF - value of Frequency","$65,station id ,N,S,FFFF,#","If S = 0, then only consider valid FFFF value. Value of S below: 0 - frequency set successful,1 - Checksum error,2 - frequency not set,3 -transmitter communication problem or not connected 4 - get successful,N= 0 for UHF, 1 for Radio Sonde FFFF - value of Frequency"
6a04547227be22811320698a,Set Attenuation,"?66,N,S,xx,#",1,min,"N= 0 for UHF, 1 for Radio Sonde S = 0 – to get ,1- set In case of S =0 no need to send xx. Where xx = attenuation value","$66,station id,N,S,xx,#","N= 0 for UHF, 1 for Radio Sonde, S = 0 – to get ,1- set ,xx= attenuation value"
6a04547227be22811320698b,Get station ID of Radio sonde Transmitter,"?67,S,xxxxx,#",1,min,"S = 0 – get, 1- set in case of S =0 no need to send xxxxx xxxxx = station id of sonde transmitter (5 char)","$67,station id,S,xxxx,#","S = 0 – get, 1- set xxxxx = station id of sonde transmitter (5 char)"
6a04547227be22811320698c,Set DL cell no,"?68,N,#",1,min,"where N = 1=D.L.Cell no.1 (+91 and 10 number and 13 digit number functionality),2= D.L.Cell no.2 (+91 and 10 number and 13 digit number functionality),3= MSSISDN no.1 (not allow +91 only 13 digit number allow),4=MSSISDN no.2 (not allow +91 only 13 digit number allow)","$68,Stationid,+91nnnnnnnnnn,#",NA
6a04547227be22811320698e,Power Switching,"?76,,#",1,min,,"$76,StationId,1#",1 indicate success
6a04547227be22811320698f,Sim Card Test,"?77,1,#",1,min,,"$77,Station ID, 0, -067, 0, -072, EC200UCNAAR03A14M08,#","SIM1_slot_status – 0: Success,1: Failure, Signal_strength_SIM1: -067, SIM2_slot_status - 0: Success,1: Failure, Signal_strength_SIM2: -072 ,Modem Firmware Ver: EC200UCNAAR03A14M08"
6a04547227be228113206990,Sleep Current Test,"?79,,#",1,min,,"$79,StationId,1#",1-indicate success
6a04547227be228113206991,SET Sensor ALL parameter,"?80,(Sensor no, channel no,F.G, factory off, senG, Soff, Resolution, sen Min, sens Max, Averag Scheme, vactor, start time, interval, total sample, mode, Tx.G, Tx.O ),#",1,min,NA,"$80,List of all sensor parameters,#","Ss, ww, MMMMMM.MMMMM, ± xxxxx.xxxxx, ±zzzzz.zzzzz,±ddddd.ddddd,±vvvvv.vvvvv,±nnnnn.nnnnn,±ccccc.ccccc,a,rr,HH:MM:SS,HH:MM:SS,zz,f,±yyyyy.yyyyy,±ppppp.ppppp (Sensor no, F.G, factory off, senG, S.off, Resolution, sen Min, sens Max, Averag Scheme, vactor, start time, interval, total sample, mode, Tx.G, Tx.O ) Max length = 8+2+10+10+10+10+10+10+10+1+2+1+10+10 = 155 characters"
6a04547227be228113206994,GET sensor parameter,"?81,Sensor Number,#",1,min,NA,"$81,List of all sensor parameters,#","Ss, ww, MMMMMM.MMMMM, ± xxxxx.xxxxx, ±zzzzz.zzzzz,±ddddd.ddddd,±vvvvv.vvvvv,±nnnnn.nnnnn,±ccccc.ccccc,a,rr,HH:MM:SS,HH:MM:SS,zz,f,±yyyyy.yyyyy,±ppppp.ppppp (Sensor no, F.G, factory off, senG, S.off, Resolution, sen Min, sens Max, Averag Scheme, vactor, start time, interval, total sample, mode, Tx.G, Tx.O ) Max length = 8+2+10+10+10+10+10+10+10+1+2+1+10+10 = 155 characters"
6a04547227be228113206993,SET sensors parameters,"?82,(sensor no,unit,SenSelStatus,BaudRate,ReqLen,Start Char,Fp,Lp,Resp Len,RelayNo,PeriodicSmpl,DerievedPara,RequestString,Sensor name,id, model,rstcnt,datum,dec_len,frac_len,max_threshold,min_threshold)",1,min,NA,"$82,Station ID, sensor no,unit,SenSelStatus,BaudRate,ReqLen,Start Char,Fp,Lp,Resp Len,RelayNo,PeriodicSmpl,DerievedPara,RequestString,Sensor name,id, model,rstcnt,datum,dec_len,frac_len,max_threshold,min_threshold, #",NA
6a04547227be228113206994,GET sensor parameter,"?83,Sensor number,#",1,min,NA,"$83,Station ID, sensor no,unit,SenSelStatus,BaudRate,ReqLen,Start Char,Fp,Lp,Resp Len,RelayNo,PeriodicSmpl,DerievedPara,RequestString,Sensor name,id, model,rstcnt,datum,dec_len,frac_len,max_threshold,min_threshold, #",NA
6a04547227be228113206995,Battery Voltage,"?84,xx,#",1,min,Where xx is between 00 to 11.,"$84,station id ,Battery Voltage, CNT: Counts,#",NA
6a04547227be228113206997,GPRS RSSI,"?89,,#",1,min,,"$89,Factory Stationid,RSSI,#",NA
6a04547227be22811320699f,Set HTTP Port,"?98,1,PPPPP,#",1,min,Where PPPPP is between 0 to 65535,"$98,station id, User1HTTPPort, User2HTTPPort, User3HTTPPort, FactHTTPPort,#",NA
6a04547227be228113206998,Memory test,"?91,,#",1,min,,"$91,station Id ,memorystatus,memory 2 status,#",
6a04547227be228113206999,manual FTP,"?92,,#",1,min,"$92,Factory station id,0","$92,00000000,0,#","0 indicates task is completed."
